time_s,phase,command_abs_vx_mps,mean_linear_speed_mps,p95_linear_speed_mps,mean_angular_speed_rps,p95_angular_speed_rps,mean_tilt_deg,p95_tilt_deg,mean_height_m,settled_fraction,fall_fraction
2.88,stop,0.0,0.010425299406051636,0.024424592033028603,0.21333158016204834,0.5320287346839905,8.013486862182617,10.897737503051758,0.1478564590215683,0.0,0.0
2.9,stop,0.0,0.009944134391844273,0.024440336972475052,0.2194894254207611,0.5579832196235657,8.09893798828125,10.906620979309082,0.14791563153266907,0.0,0.0
2.92,stop,0.0,0.00961670558899641,0.02473352663218975,0.21341393887996674,0.5423769354820251,8.186884880065918,10.915719985961914,0.147975891828537,0.0,0.0
2.94,stop,0.0,0.009599453769624233,0.02453199215233326,0.2073224037885666,0.48297637701034546,8.274988174438477,10.923316955566406,0.14803723990917206,0.0,0.0
2.96,stop,0.0,0.009381067007780075,0.025104999542236328,0.2074345499277115,0.5057002902030945,8.364466667175293,10.930266380310059,0.14809508621692657,0.0,0.0
2.98,stop,0.0,0.009166030213236809,0.024450847879052162,0.20991243422031403,0.48097172379493713,8.457554817199707,10.93718433380127,0.14815634489059448,0.0,0.0
3.0,stop,0.0,0.009328455664217472,0.024969400838017464,0.20613344013690948,0.5017333030700684,8.554338455200195,10.942484855651855,0.14821527898311615,0.0,0.0
3.02,stop,0.0,0.009291388094425201,0.023946354165673256,0.21011579036712646,0.5162471532821655,8.650604248046875,10.946739196777344,0.14827187359333038,0.0,0.0
3.04,stop,0.0,0.00939251109957695,0.02435879595577717,0.20489265024662018,0.5105497241020203,8.749530792236328,10.950240135192871,0.1483253538608551,0.03125,0.0
3.06,stop,0.0,0.00882384181022644,0.02424807660281658,0.2109057903289795,0.5092862844467163,8.843536376953125,10.95257568359375,0.14837044477462769,0.1171875,0.0
3.08,stop,0.0,0.008885052986443043,0.024593129754066467,0.1957675963640213,0.5509546399116516,8.942386627197266,10.95528793334961,0.14841386675834656,0.2421875,0.0
3.1,stop,0.0,0.00919422134757042,0.02773655578494072,0.20109319686889648,0.5432568192481995,9.04355239868164,10.956865310668945,0.1484556496143341,0.2890625,0.0
3.12,stop,0.0,0.00977209210395813,0.02724555693566799,0.18957597017288208,0.4991857707500458,9.143411636352539,10.959755897521973,0.14849311113357544,0.3671875,0.0
3.14,stop,0.0,0.009525805711746216,0.02621954120695591,0.18034183979034424,0.4642844796180725,9.242494583129883,10.962249755859375,0.1485254466533661,0.4296875,0.0
3.16,stop,0.0,0.009698896668851376,0.02909042127430439,0.19451308250427246,0.5420850515365601,9.337590217590332,10.96353816986084,0.14854350686073303,0.4921875,0.0
3.18,stop,0.0,0.009358001872897148,0.028562162071466446,0.18260198831558228,0.5487927198410034,9.434328079223633,10.964863777160645,0.14855949580669403,0.515625,0.0
3.2,stop,0.0,0.010089272633194923,0.0338364839553833,0.17704516649246216,0.5400320291519165,9.531004905700684,10.964842796325684,0.148578941822052,0.515625,0.0
3.22,stop,0.0,0.009137785993516445,0.027182985097169876,0.1842130720615387,0.5733975768089294,9.617292404174805,10.966212272644043,0.1485806256532669,0.5234375,0.0
3.24,stop,0.0,0.009140288457274437,0.025936691090464592,0.1628354787826538,0.5352498888969421,9.705594062805176,10.968429565429688,0.14858916401863098,0.53125,0.0
3.26,stop,0.0,0.009668087586760521,0.03474457934498787,0.16295456886291504,0.4889223277568817,9.789401054382324,10.97022533416748,0.14859163761138916,0.53125,0.0
3.28,stop,0.0,0.008280126377940178,0.02488527074456215,0.15530864894390106,0.549513578414917,9.869357109069824,10.972188949584961,0.14859086275100708,0.53125,0.0
3.3,stop,0.0,0.008583561517298222,0.024522094056010246,0.14676201343536377,0.47592365741729736,9.943756103515625,10.973420143127441,0.1485869139432907,0.53125,0.0
3.32,stop,0.0,0.008378766477108002,0.025071190670132637,0.1468276083469391,0.47622478008270264,10.013861656188965,10.973780632019043,0.1485813707113266,0.53125,0.0
