time_s,phase,target_height_m,mean_height_m,command_vx_mps,mean_vx_mps,mean_linear_speed_mps,mean_abs_lateral_m,mean_abs_heading_deg,double_contact_fraction,mean_action_rms,mean_action_rate,fall_fraction
2.16,forward,0.143,0.13440477848052979,0.08,0.05081769824028015,0.2523536682128906,0.00391369080170989,0.6680053472518921,1.0,0.3312578499317169,0.07084968686103821,0.0
2.18,forward,0.143,0.13299795985221863,0.08,0.05836319923400879,0.22605937719345093,0.008436596021056175,0.5844340324401855,1.0,0.3385838568210602,0.09641662240028381,0.0
2.2,forward,0.143,0.13364377617835999,0.08,0.09077713638544083,0.18789413571357727,0.01151022594422102,1.0469988584518433,1.0,0.34291622042655945,0.08133654296398163,0.0
2.22,forward,0.143,0.1340455710887909,0.08,0.09911788254976273,0.17401553690433502,0.014249997213482857,1.4036216735839844,1.0,0.36264920234680176,0.12201513350009918,0.0
2.24,forward,0.143,0.13445812463760376,0.08,0.10622063279151917,0.1702585220336914,0.016524672508239746,1.529072642326355,0.7421875,0.3814036250114441,0.11833897978067398,0.0
2.26,forward,0.143,0.13472077250480652,0.08,0.12067359685897827,0.16152143478393555,0.01827768236398697,1.5987566709518433,0.8359375,0.3713945150375366,0.09111197292804718,0.0
2.28,forward,0.143,0.1350024938583374,0.08,0.13495507836341858,0.1620893031358719,0.01928430236876011,1.6672440767288208,0.984375,0.3844188451766968,0.09213116765022278,0.0
2.3,forward,0.143,0.13539448380470276,0.08,0.1153755635023117,0.154733806848526,0.01947837509214878,1.7935621738433838,1.0,0.41012877225875854,0.09210191667079926,0.0
2.32,forward,0.143,0.13599704205989838,0.08,0.08998320996761322,0.12532788515090942,0.018882468342781067,1.7509572505950928,1.0,0.4307605028152466,0.13259336352348328,0.0
2.34,forward,0.143,0.13656122982501984,0.08,0.08125465363264084,0.14882472157478333,0.01717856526374817,1.9468621015548706,0.890625,0.47417423129081726,0.12920284271240234,0.0
2.36,forward,0.143,0.1372508704662323,0.08,0.06259623169898987,0.2023557722568512,0.014009563252329826,2.4213056564331055,0.640625,0.527937650680542,0.14078110456466675,0.0
2.38,forward,0.143,0.13809719681739807,0.08,0.05495317652821541,0.2652565836906433,0.00945909321308136,2.832287311553955,0.9609375,0.5952372550964355,0.14695285260677338,0.0
2.4,forward,0.143,0.1389373391866684,0.08,0.047591134905815125,0.3196403980255127,0.0036367508582770824,2.922365427017212,1.0,0.6374570727348328,0.11554308980703354,0.0
2.42,forward,0.143,0.13938920199871063,0.08,0.04257430136203766,0.36135318875312805,0.003414460923522711,3.051539421081543,1.0,0.6729034781455994,0.09132860600948334,0.0
2.44,forward,0.143,0.1390591412782669,0.08,0.03401608765125275,0.280490517616272,0.01032342854887247,3.3086888790130615,0.125,0.6886739134788513,0.0690886527299881,0.0
2.46,forward,0.143,0.13804787397384644,0.08,0.07923504710197449,0.21588680148124695,0.015039605088531971,3.245948314666748,0.0,0.6948028802871704,0.10091853141784668,0.0
2.48,forward,0.143,0.13679304718971252,0.08,0.0862535908818245,0.13736361265182495,0.018028417602181435,3.2961883544921875,0.046875,0.640849769115448,0.0973217785358429,0.0
2.5,forward,0.143,0.13557426631450653,0.08,0.06300612539052963,0.08621388673782349,0.019262397661805153,3.4169602394104004,0.3359375,0.5765084028244019,0.13676458597183228,0.0
2.52,forward,0.143,0.13479217886924744,0.08,0.03941782936453819,0.05555988848209381,0.01918991468846798,3.010375738143921,0.46875,0.5047039985656738,0.13164666295051575,0.0
2.54,forward,0.143,0.13395816087722778,0.08,0.029500484466552734,0.11684446781873703,0.01765184849500656,2.347398281097412,0.8984375,0.4191996455192566,0.17368051409721375,0.0
2.56,forward,0.143,0.13295337557792664,0.08,0.031555503606796265,0.18247023224830627,0.014670561999082565,1.4082355499267578,0.6875,0.3727717101573944,0.16559892892837524,0.0
2.58,forward,0.143,0.1319553554058075,0.08,0.026860777288675308,0.2432394176721573,0.010292566381394863,0.5715413689613342,0.9921875,0.3308601975440979,0.14176812767982483,0.0
2.6,forward,0.143,0.1309514343738556,0.08,0.002766967751085758,0.2682908773422241,0.005093649961054325,0.45462316274642944,0.96875,0.3281218409538269,0.11159273982048035,0.0
2.62,forward,0.143,0.13027387857437134,0.08,0.00713965343311429,0.24401962757110596,0.00181107921525836,0.6293317675590515,0.9453125,0.3622198700904846,0.10083670914173126,0.0
2.64,forward,0.143,0.12968593835830688,0.08,0.022729847580194473,0.2342662662267685,0.004800706170499325,0.7588554620742798,1.0,0.3869682252407074,0.09252536296844482,0.0
2.66,forward,0.143,0.12906740605831146,0.08,0.03326137363910675,0.2242226004600525,0.00934135913848877,0.8421444296836853,1.0,0.4203683137893677,0.08611862361431122,0.0
2.68,forward,0.143,0.12880906462669373,0.08,0.03473377600312233,0.18827275931835175,0.013485172763466835,0.8177996873855591,0.96875,0.4654186964035034,0.07576112449169159,0.0
2.7,forward,0.143,0.13005301356315613,0.08,-0.021026208996772766,0.16514085233211517,0.01669716089963913,1.0386426448822021,0.984375,0.48366793990135193,0.08940872550010681,0.0
2.72,forward,0.143,0.1311013400554657,0.08,-0.042029719799757004,0.1572386473417282,0.019708722829818726,1.3315796852111816,0.9921875,0.5107148885726929,0.10856293141841888,0.0
2.74,forward,0.143,0.1321791410446167,0.08,-0.0323365181684494,0.13844947516918182,0.022274699062108994,1.4042258262634277,0.921875,0.5321656465530396,0.07644058763980865,0.0
2.76,forward,0.143,0.13349297642707825,0.08,-0.03306865692138672,0.1154395118355751,0.02414921298623085,1.3981709480285645,0.4921875,0.5228357315063477,0.06816995143890381,0.0
2.78,forward,0.143,0.13480503857135773,0.08,-0.01520807109773159,0.07046973705291748,0.025113195180892944,1.178336262702942,0.6953125,0.5172398090362549,0.08627589046955109,0.0
2.8,forward,0.143,0.13556048274040222,0.08,-0.00047952577006071806,0.047914545983076096,0.02564961090683937,0.7315593957901001,1.0,0.5210283398628235,0.1086903065443039,0.0
2.82,forward,0.143,0.13609322905540466,0.08,0.013036387041211128,0.041859086602926254,0.025745101273059845,0.4117928147315979,1.0,0.5053448677062988,0.0898888111114502,0.0
2.84,forward,0.143,0.13646820187568665,0.08,0.025247611105442047,0.05973675101995468,0.02518392540514469,0.28328603506088257,1.0,0.4939982295036316,0.10239262878894806,0.0
2.86,forward,0.143,0.13679897785186768,0.08,0.02761833369731903,0.09076455235481262,0.023879049345850945,0.39950937032699585,1.0,0.49302878975868225,0.11107385903596878,0.0
2.88,forward,0.143,0.13709929585456848,0.08,0.028772182762622833,0.12010731548070908,0.021753164008259773,0.6455826759338379,0.9375,0.501975417137146,0.13052338361740112,0.0
2.9,forward,0.143,0.1375131905078888,0.08,0.03197506070137024,0.20393933355808258,0.0183587446808815,0.8488366007804871,0.2265625,0.5448161959648132,0.17174603044986725,0.0
2.92,forward,0.143,0.13821937143802643,0.08,0.024262305349111557,0.2984263300895691,0.01317549403756857,0.9571902751922607,0.3671875,0.6084014773368835,0.1878192126750946,0.0
2.94,forward,0.143,0.13899759948253632,0.08,0.016650259494781494,0.3618234694004059,0.006408488377928734,1.0319929122924805,0.6953125,0.6655755043029785,0.1498957872390747,0.0
2.96,forward,0.143,0.13936321437358856,0.08,0.012494921684265137,0.4043235182762146,0.002155846916139126,1.2045094966888428,0.8984375,0.7081227898597717,0.1186036542057991,0.0
2.98,forward,0.143,0.13896197080612183,0.08,0.0005272054113447666,0.31263232231140137,0.009145814925432205,1.6320306062698364,0.0546875,0.7214373350143433,0.09308451414108276,0.0
