time_s,mean_ball_progress_m,mean_ball_speed_mps,mean_robot_ball_distance_m,mean_closest_robot_ball_distance_m,success_fraction,fall_fraction
5.34,0.0,0.0,0.1949903815984726,0.1828691065311432,0.390625,0.015625
5.36,0.0,0.0,0.19433502852916718,0.1822136491537094,0.390625,0.015625
5.38,0.0,0.0,0.1928919553756714,0.18103240430355072,0.390625,0.015625
5.4,0.0,0.0,0.19096623361110687,0.17943547666072845,0.390625,0.015625
5.42,0.0,0.0,0.1891288012266159,0.1778925657272339,0.390625,0.015625
5.44,0.0,0.0,0.1878877580165863,0.17671716213226318,0.390625,0.015625
5.46,0.0,0.0,0.18738268315792084,0.17609205842018127,0.390625,0.015625
5.48,0.0,0.0,0.18760915100574493,0.17587228119373322,0.390625,0.015625
5.5,0.0,0.0,0.18861345946788788,0.17575281858444214,0.390625,0.015625
5.52,0.0,0.0,0.19033382833003998,0.17568781971931458,0.390625,0.015625
5.54,0.0,0.0,0.1918027251958847,0.1756524294614792,0.390625,0.015625
5.56,0.0,0.0,0.1927330642938614,0.17558467388153076,0.390625,0.015625
5.58,0.0,0.0,0.19270727038383484,0.1754978895187378,0.390625,0.015625
5.6,0.0,0.0,0.19185888767242432,0.17545919120311737,0.390625,0.015625
5.62,0.0,0.0,0.19457215070724487,0.17500121891498566,0.40625,0.015625
5.64,0.0,0.0,0.1949135661125183,0.17526914179325104,0.421875,0.015625
5.66,0.0,0.0,0.19962471723556519,0.17524345219135284,0.453125,0.015625
5.68,0.0,0.0,0.1930696815252304,0.17719535529613495,0.453125,0.015625
5.7,0.0,0.0,0.1960587203502655,0.17575635015964508,0.46875,0.015625
5.72,0.0,0.0,0.19627274572849274,0.175980806350708,0.484375,0.015625
5.74,0.0,0.0,0.1916278898715973,0.17619852721691132,0.484375,0.015625
5.76,0.0,0.0,0.1898689866065979,0.1748833954334259,0.484375,0.015625
5.78,0.0,0.0,0.1886349320411682,0.17401041090488434,0.484375,0.015625
5.8,0.0,0.0,0.19848981499671936,0.17356324195861816,0.515625,0.015625
5.82,0.0,0.0,0.19833889603614807,0.17749041318893433,0.53125,0.015625
5.84,0.0,0.0,0.19567739963531494,0.1796049177646637,0.53125,0.015625
5.86,0.0,0.0,0.19570328295230865,0.1793421506881714,0.53125,0.015625
5.88,0.0,0.0,0.20714078843593597,0.17898674309253693,0.5625,0.015625
5.9,0.0,0.0,0.20649033784866333,0.18301333487033844,0.578125,0.015625
5.92,0.0,0.0,0.20213600993156433,0.184400275349617,0.578125,0.015625
5.94,0.0,0.0,0.20031265914440155,0.18291623890399933,0.578125,0.015625
5.96,0.0,0.0,0.19853945076465607,0.18144965171813965,0.578125,0.015625
5.98,0.0,0.0,0.19756171107292175,0.18042738735675812,0.578125,0.015625
6.0,0.0,0.0,0.28172987699508667,0.18032899498939514,0.578125,0.015625
