time_s,mean_ball_progress_m,mean_ball_speed_mps,mean_robot_ball_distance_m,success_fraction,fall_fraction
3.36,0.2272101193666458,0.058387067168951035,0.38862794637680054,0.6875,0.015625
3.38,0.22837591171264648,0.05822090804576874,0.39284786581993103,0.6875,0.015625
3.4,0.2295381873846054,0.058054566383361816,0.3963068127632141,0.6875,0.015625
3.42,0.23069696128368378,0.057889167219400406,0.39862769842147827,0.6875,0.015625
3.44,0.2318529337644577,0.057724107056856155,0.39950665831565857,0.6875,0.015625
3.46,0.2330053299665451,0.05756015703082085,0.39968565106391907,0.6875,0.015625
3.48,0.2341545820236206,0.05739560350775719,0.39961040019989014,0.6875,0.015625
3.5,0.23530051112174988,0.05723205581307411,0.39944612979888916,0.6875,0.015625
3.52,0.23644304275512695,0.057068511843681335,0.3990802466869354,0.6875,0.015625
3.54,0.23758256435394287,0.05690588429570198,0.3986799716949463,0.6875,0.015625
3.56,0.23871873319149017,0.05674321949481964,0.3987499177455902,0.6875,0.015625
3.58,0.2398516833782196,0.056581247597932816,0.3994608521461487,0.6875,0.015625
3.6,0.2409813106060028,0.05641999468207359,0.4009723961353302,0.6875,0.015625
3.62,0.24210800230503082,0.056258879601955414,0.40300995111465454,0.6875,0.015625
3.64,0.24323059618473053,0.05609796568751335,0.4048474133014679,0.6875,0.015625
3.66,0.24435053765773773,0.05593811720609665,0.40726250410079956,0.6875,0.015625
3.68,0.24546723067760468,0.055778879672288895,0.4099365174770355,0.6875,0.015625
3.7,0.24658077955245972,0.05561935901641846,0.4127993881702423,0.6875,0.015625
3.72,0.24769070744514465,0.055461011826992035,0.4152577221393585,0.6875,0.015625
3.74,0.24879826605319977,0.05530264601111412,0.4173632562160492,0.6875,0.015625
3.76,0.24990224838256836,0.055145107209682465,0.4190327227115631,0.6875,0.015625
3.78,0.2510030269622803,0.0549868680536747,0.4209154546260834,0.6875,0.015625
3.8,0.2521008551120758,0.05483020097017288,0.4233523905277252,0.6875,0.015625
3.82,0.25319570302963257,0.054673269391059875,0.4267025887966156,0.6875,0.015625
3.84,0.2542872130870819,0.0545174814760685,0.4306176006793976,0.6875,0.015625
3.86,0.25537562370300293,0.05436187610030174,0.43465864658355713,0.6875,0.015625
3.88,0.2564612329006195,0.05420701205730438,0.43898648023605347,0.6875,0.015625
3.9,0.25754353404045105,0.05405270308256149,0.44330015778541565,0.6875,0.015625
3.92,0.25862258672714233,0.05389850586652756,0.44692906737327576,0.6875,0.015625
3.94,0.25969836115837097,0.05374450609087944,0.4496791362762451,0.6875,0.015625
3.96,0.260771244764328,0.05359121412038803,0.45139679312705994,0.6875,0.015625
3.98,0.26184114813804626,0.05343884602189064,0.4525284469127655,0.6875,0.015625
4.0,0.2629079520702362,0.05328622832894325,0.45293471217155457,0.6875,0.015625
4.02,0.2639716863632202,0.053134240210056305,0.4525853097438812,0.6875,0.015625
4.04,0.2650323212146759,0.05298285931348801,0.45200470089912415,0.6875,0.015625
4.06,0.26609042286872864,0.05283172428607941,0.4514475464820862,0.6875,0.015625
4.08,0.267145037651062,0.052681196480989456,0.4511290192604065,0.6875,0.015625
4.1,0.2681967318058014,0.05253085866570473,0.4512116312980652,0.6875,0.015625
4.12,0.2692454159259796,0.052381351590156555,0.45184236764907837,0.6875,0.015625
4.14,0.27029144763946533,0.05223145708441734,0.45330390334129333,0.6875,0.015625
4.16,0.27133432030677795,0.05208273604512215,0.455433189868927,0.6875,0.015625
4.18,0.2723742127418518,0.05193418636918068,0.45750918984413147,0.6875,0.015625
4.2,0.27341118454933167,0.05178625509142876,0.459906667470932,0.6875,0.015625
4.22,0.27444520592689514,0.05163872241973877,0.4624548554420471,0.6875,0.015625
4.24,0.27547597885131836,0.05149077996611595,0.4653332829475403,0.6875,0.015625
4.26,0.27650362253189087,0.05134398862719536,0.46758952736854553,0.6875,0.015625
4.28,0.2775285542011261,0.051197394728660583,0.4692137539386749,0.6875,0.015625
4.3,0.2785507142543793,0.05105157941579819,0.4703702926635742,0.6875,0.015625
4.32,0.27956971526145935,0.05090589448809624,0.47182098031044006,0.6875,0.015625
4.34,0.280585914850235,0.05076092854142189,0.47398099303245544,0.6875,0.015625
4.36,0.2815994620323181,0.05061642453074455,0.4771413803100586,0.6875,0.015625
4.38,0.28261005878448486,0.05047218129038811,0.4815262258052826,0.6875,0.015625
4.4,0.28361767530441284,0.05032805725932121,0.4862014353275299,0.6875,0.015625
4.42,0.28462234139442444,0.050184134393930435,0.4910505712032318,0.6875,0.015625
4.44,0.28562435507774353,0.050041377544403076,0.49580976366996765,0.6875,0.015625
4.46,0.2866235375404358,0.04989852011203766,0.49991175532341003,0.6875,0.015625
4.48,0.28761976957321167,0.049756068736314774,0.5030494928359985,0.6875,0.015625
4.5,0.28861331939697266,0.049614183604717255,0.5044608116149902,0.6875,0.015625
4.52,0.28960397839546204,0.049472641199827194,0.5042403340339661,0.6875,0.015625
4.54,0.2905918061733246,0.04933140054345131,0.5036215782165527,0.6875,0.015625
4.56,0.29157689213752747,0.04919029399752617,0.5028843879699707,0.6875,0.015625
4.58,0.2925586700439453,0.049049943685531616,0.5019727945327759,0.6875,0.015625
4.6,0.29353761672973633,0.04890957847237587,0.5012914538383484,0.6875,0.015625
4.62,0.2945139408111572,0.048769887536764145,0.5010615587234497,0.6875,0.015625
4.64,0.29548782110214233,0.04863082617521286,0.5014325380325317,0.6875,0.015625
4.66,0.2964583933353424,0.048492055386304855,0.5024933815002441,0.6875,0.015625
4.68,0.29742610454559326,0.04835380241274834,0.5042516589164734,0.6875,0.015625
4.7,0.2983916699886322,0.04821569845080376,0.5063990354537964,0.6875,0.015625
4.72,0.29935452342033386,0.048078086227178574,0.508547842502594,0.6875,0.015625
4.74,0.30031388998031616,0.04794074222445488,0.5110475420951843,0.6875,0.015625
4.76,0.301270991563797,0.04780389741063118,0.5141595602035522,0.6875,0.015625
4.78,0.3022254705429077,0.04766771197319031,0.5173687934875488,0.6875,0.015625
4.8,0.3031773567199707,0.04753187671303749,0.519907534122467,0.6875,0.015625
4.82,0.3041262924671173,0.047395896166563034,0.5218302607536316,0.6875,0.015625
4.84,0.305072546005249,0.047261010855436325,0.5230829119682312,0.6875,0.015625
4.86,0.30601662397384644,0.047126274555921555,0.5242684483528137,0.6875,0.015625
4.88,0.3069571554660797,0.04699184000492096,0.5259542465209961,0.6875,0.015625
4.9,0.30789557099342346,0.046857621520757675,0.5289033055305481,0.6875,0.015625
4.92,0.3088308274745941,0.04672354459762573,0.5327125787734985,0.6875,0.015625
4.94,0.30976346135139465,0.04659074917435646,0.5368396639823914,0.6875,0.015625
4.96,0.3106934130191803,0.046457793563604355,0.5413711071014404,0.6875,0.015625
4.98,0.31162065267562866,0.04632503166794777,0.5458089709281921,0.6875,0.015625
5.0,0.3125457167625427,0.04619290307164192,0.5496013164520264,0.6875,0.015625
5.02,0.31346791982650757,0.04606121405959129,0.5521639585494995,0.6875,0.015625
5.04,0.31438708305358887,0.045929666608572006,0.5532709360122681,0.6875,0.015625
5.06,0.315304160118103,0.045798566192388535,0.5534284710884094,0.6875,0.015625
5.08,0.3162188231945038,0.04566771164536476,0.5534096956253052,0.6875,0.015625
5.1,0.3171301484107971,0.045536670833826065,0.553290843963623,0.6875,0.015625
5.12,0.31803932785987854,0.0454065315425396,0.5520183444023132,0.6875,0.015625
5.14,0.31894582509994507,0.04527721181511879,0.5507265329360962,0.6875,0.015625
5.16,0.31985020637512207,0.04514799639582634,0.5498099327087402,0.6875,0.015625
5.18,0.3207516074180603,0.04501904919743538,0.5496526956558228,0.6875,0.015625
5.2,0.3216499090194702,0.044890396296978,0.5502350330352783,0.6875,0.015625
5.22,0.32254645228385925,0.04476236552000046,0.5515006184577942,0.6875,0.015625
5.24,0.3234406113624573,0.044634439051151276,0.5536651611328125,0.6875,0.015625
5.26,0.3243315815925598,0.0445069819688797,0.5557845234870911,0.6875,0.015625
5.28,0.32522010803222656,0.04437963664531708,0.5579444766044617,0.6875,0.015625
5.3,0.3261057436466217,0.044252924621105194,0.5608468055725098,0.6875,0.015625
5.32,0.32698938250541687,0.044126641005277634,0.5644750595092773,0.6875,0.015625
5.34,0.3278702199459076,0.04400073364377022,0.5673161745071411,0.6875,0.015625
5.36,0.3287484049797058,0.043875567615032196,0.5693623423576355,0.6875,0.015625
5.38,0.3296244442462921,0.043750595301389694,0.5705083608627319,0.6875,0.015625
5.4,0.33049795031547546,0.043625883758068085,0.5712626576423645,0.6875,0.015625
5.42,0.3313685357570648,0.043501291424036026,0.5723621845245361,0.6875,0.015625
5.44,0.3322371244430542,0.04077531397342682,0.5674739480018616,0.703125,0.015625
5.46,0.33928218483924866,0.04291756451129913,0.5973272323608398,0.703125,0.015625
5.48,0.3401389718055725,0.04279483109712601,0.6012349724769592,0.703125,0.015625
5.5,0.34099307656288147,0.042672451585531235,0.6059961318969727,0.703125,0.015625
5.52,0.3418451249599457,0.04255060479044914,0.6107038259506226,0.703125,0.015625
5.54,0.342695027589798,0.04242901876568794,0.6145663857460022,0.703125,0.015625
5.56,0.3435422480106354,0.0423077754676342,0.6171578764915466,0.703125,0.015625
5.58,0.3443867862224579,0.04218687117099762,0.6184455752372742,0.703125,0.015625
5.6,0.3452289402484894,0.04206640273332596,0.6191042065620422,0.703125,0.015625
5.62,0.34606921672821045,0.04194646328687668,0.6191508173942566,0.703125,0.015625
5.64,0.3469071090221405,0.04182669147849083,0.6192834973335266,0.703125,0.015625
5.66,0.3477417230606079,0.04170708730816841,0.6189646124839783,0.703125,0.015625
5.68,0.34857407212257385,0.04158817231655121,0.6188297271728516,0.703125,0.015625
5.7,0.3494042754173279,0.04146936908364296,0.61859130859375,0.703125,0.015625
5.72,0.35023218393325806,0.041350409388542175,0.6189290881156921,0.703125,0.015625
5.74,0.3510577380657196,0.04123209789395332,0.6198075413703918,0.703125,0.015625
5.76,0.3518806993961334,0.041114140301942825,0.6213697791099548,0.703125,0.015625
5.78,0.3527012765407562,0.040996529161930084,0.6235488653182983,0.703125,0.015625
5.8,0.35352006554603577,0.04087958484888077,0.6254900097846985,0.703125,0.015625
5.82,0.3543362319469452,0.040762633085250854,0.6278408169746399,0.703125,0.015625
5.84,0.35514989495277405,0.040646351873874664,0.6307163834571838,0.703125,0.015625
5.86,0.35596150159835815,0.04053031653165817,0.6340940594673157,0.703125,0.015625
5.88,0.35677066445350647,0.040414441376924515,0.6365906000137329,0.703125,0.015625
5.9,0.35757747292518616,0.04029898717999458,0.6381774544715881,0.703125,0.015625
5.92,0.3583820164203644,0.04018350690603256,0.6387553215026855,0.703125,0.015625
5.94,0.359184592962265,0.04006871208548546,0.6390644907951355,0.703125,0.015625
5.96,0.35998478531837463,0.039954423904418945,0.6399871706962585,0.703125,0.015625
5.98,0.36078235507011414,0.039840251207351685,0.6423312425613403,0.703125,0.015625
6.0,0.3615778982639313,0.0,0.07240637391805649,0.703125,0.015625
