time_s,mean_progress_m,mean_directed_speed_mps,mean_cross_track_m,fall_fraction
2.0,0.2816910743713379,0.16214098036289215,0.023740431293845177,0.0390625
2.02,0.28497326374053955,0.1654382199048996,0.024241214618086815,0.0390625
2.04,0.28835079073905945,0.17014506459236145,0.024829184636473656,0.0390625
2.06,0.2917759418487549,0.1701912134885788,0.025541916489601135,0.0390625
2.08,0.2952083647251129,0.17340007424354553,0.026385407894849777,0.0390625
2.1,0.29851239919662476,0.16418595612049103,0.027607467025518417,0.0390625
2.12,0.3016115427017212,0.15909576416015625,0.029117977246642113,0.0390625
2.14,0.30492693185806274,0.16179408133029938,0.02972249872982502,0.0390625
2.16,0.30864208936691284,0.18655189871788025,0.030607644468545914,0.0390625
2.18,0.31229719519615173,0.173353910446167,0.0314159020781517,0.0390625
2.2,0.31549739837646484,0.1510152667760849,0.03198617696762085,0.0390625
2.22,0.31848520040512085,0.15104267001152039,0.032131485641002655,0.0390625
2.24,0.3217812478542328,0.16538205742835999,0.03181282803416252,0.0390625
2.26,0.32521018385887146,0.16007624566555023,0.031189899891614914,0.0390625
2.28,0.32848289608955383,0.1475171595811844,0.030230117961764336,0.0390625
2.3,0.331622838973999,0.14348629117012024,0.029081307351589203,0.0390625
2.32,0.33474281430244446,0.13905635476112366,0.027803244069218636,0.0390625
2.34,0.33779868483543396,0.13422583043575287,0.026377705857157707,0.0390625
2.36,0.3407437205314636,0.12711115181446075,0.025026561692357063,0.0390625
2.38,0.34370100498199463,0.13065692782402039,0.0241946280002594,0.0390625
2.4,0.34701916575431824,0.13105037808418274,0.02450859174132347,0.0390625
2.42,0.350960910320282,0.19455663859844208,0.025119703263044357,0.0390625
2.44,0.355197936296463,0.2043834924697876,0.025446858257055283,0.0390625
2.46,0.3591150641441345,0.1798628270626068,0.025686610490083694,0.0390625
2.48,0.36237582564353943,0.15537698566913605,0.025975113734602928,0.0390625
2.5,0.3654991388320923,0.1554945707321167,0.02638477087020874,0.0390625
2.52,0.368709921836853,0.1604238748550415,0.02676404081285,0.0390625
2.54,0.37199732661247253,0.16196298599243164,0.027118783444166183,0.0390625
2.56,0.37525391578674316,0.1632886826992035,0.02759549953043461,0.0390625
2.58,0.37863418459892273,0.17217180132865906,0.02817699685692787,0.0390625
2.6,0.38212695717811584,0.17210376262664795,0.028859000653028488,0.0390625
2.62,0.38557738065719604,0.1742670089006424,0.0296611487865448,0.0390625
2.64,0.3889213800430298,0.1656658798456192,0.030772652477025986,0.0390625
2.66,0.3920609951019287,0.16362792253494263,0.03216953203082085,0.0390625
2.68,0.3954100012779236,0.16174249351024628,0.03252239525318146,0.0390625
2.7,0.39911502599716187,0.1860387921333313,0.03314192593097687,0.0390625
2.72,0.40277475118637085,0.17431655526161194,0.03393418714404106,0.0390625
2.74,0.4060036242008209,0.1531185507774353,0.03446784242987633,0.0390625
2.76,0.40905654430389404,0.1529989093542099,0.03457118943333626,0.0390625
2.78,0.412385493516922,0.16661453247070312,0.03430934622883797,0.0390625
2.8,0.41584381461143494,0.16188526153564453,0.033760108053684235,0.0390625
2.82,0.4191676676273346,0.15096449851989746,0.032912224531173706,0.0390625
2.84,0.422364205121994,0.14615124464035034,0.03188943490386009,0.0390625
2.86,0.4255312979221344,0.14176781475543976,0.030639013275504112,0.0390625
2.88,0.42864325642585754,0.1371486634016037,0.029389694333076477,0.0390625
2.9,0.4316451847553253,0.13004089891910553,0.028330255299806595,0.0390625
2.92,0.43462929129600525,0.13385875523090363,0.02797911874949932,0.0390625
2.94,0.43796536326408386,0.12809519469738007,0.028402624651789665,0.0390625
2.96,0.4418559968471527,0.19325746595859528,0.029059216380119324,0.0390625
2.98,0.4461025893688202,0.2048448622226715,0.029352078214287758,0.0390625
3.0,0.45001864433288574,0.1804940104484558,0.029567008838057518,0.0390625
3.02,0.4532766044139862,0.15373195707798004,0.02980879694223404,0.0390625
3.04,0.4563674032688141,0.15390931069850922,0.03018752485513687,0.0390625
3.06,0.4595697820186615,0.16057024896144867,0.030513731762766838,0.0390625
3.08,0.4628898799419403,0.16246454417705536,0.030731169506907463,0.0390625
3.1,0.4661839008331299,0.1647496074438095,0.031142883002758026,0.0390625
3.12,0.46956565976142883,0.17137305438518524,0.03164510801434517,0.0390625
3.14,0.47306153178215027,0.1732514351606369,0.0321754515171051,0.0390625
3.16,0.47653043270111084,0.17465324699878693,0.03305552899837494,0.0390625
3.18,0.47988492250442505,0.16634425520896912,0.03427926078438759,0.0390625
3.2,0.4830377697944641,0.15964242815971375,0.03565121442079544,0.0390625
3.22,0.4863947331905365,0.16294631361961365,0.03568904474377632,0.0390625
3.24,0.490115761756897,0.18786805868148804,0.03626450523734093,0.0390625
3.26,0.49378958344459534,0.17348162829875946,0.03688983619213104,0.0390625
3.28,0.49699482321739197,0.15180854499340057,0.03733466565608978,0.0390625
3.3,0.5000016689300537,0.15242764353752136,0.03737744316458702,0.0390625
3.32,0.5033271908760071,0.16635964810848236,0.03702583163976669,0.0390625
3.34,0.5067416429519653,0.159497931599617,0.036508046090602875,0.0390625
3.36,0.5100553035736084,0.15063153207302094,0.03581026941537857,0.0390625
3.38,0.5132284760475159,0.1440083533525467,0.03491772711277008,0.0390625
3.4,0.5163496136665344,0.1399931162595749,0.033804379403591156,0.0390625
3.42,0.5194224715232849,0.13478003442287445,0.03250350058078766,0.0390625
3.44,0.522375762462616,0.1275746077299118,0.03148413076996803,0.0390625
3.46,0.525383472442627,0.13391822576522827,0.031262632459402084,0.0390625
3.48,0.5287482738494873,0.13310827314853668,0.03191147372126579,0.0390625
3.5,0.5326573848724365,0.19363771378993988,0.03272297605872154,0.0390625
3.52,0.5368925333023071,0.2029205709695816,0.033091429620981216,0.0390625
3.54,0.5407760739326477,0.1793772280216217,0.03330732882022858,0.0390625
3.56,0.5440349578857422,0.15349158644676208,0.03354685753583908,0.0390625
3.58,0.5471399426460266,0.1536758840084076,0.03389809653162956,0.0390625
3.6,0.5503371357917786,0.16079971194267273,0.0341581255197525,0.0390625
3.62,0.5536317825317383,0.161639004945755,0.03433172032237053,0.0390625
3.64,0.5569121837615967,0.1644497662782669,0.034666817635297775,0.0390625
3.66,0.5602869987487793,0.1705683022737503,0.03511873632669449,0.0390625
3.68,0.5637475252151489,0.1709863543510437,0.0356067530810833,0.0390625
3.7,0.56719970703125,0.1738019585609436,0.03643563762307167,0.0390625
3.72,0.5705300569534302,0.16473643481731415,0.037617240101099014,0.0390625
3.74,0.5736439824104309,0.15868604183197021,0.038958292454481125,0.0390625
3.76,0.5769844651222229,0.15924403071403503,0.03895408287644386,0.0390625
3.78,0.580689013004303,0.18749593198299408,0.03916528448462486,0.0390625
3.8,0.5843480825424194,0.17363940179347992,0.03957957401871681,0.0390625
3.82,0.5875846743583679,0.15326076745986938,0.039958953857421875,0.0390625
3.84,0.5906115174293518,0.15205737948417664,0.04004932567477226,0.0390625
3.86,0.5939134955406189,0.16560307145118713,0.039841096848249435,0.0390625
3.88,0.597324788570404,0.1596662998199463,0.039472904056310654,0.0390625
3.9,0.6006215214729309,0.14987102150917053,0.038857053965330124,0.0390625
3.92,0.6037865877151489,0.14368297159671783,0.03805910795927048,0.0390625
3.94,0.6069130897521973,0.1402335911989212,0.037028707563877106,0.0390625
3.96,0.6099838614463806,0.13516280055046082,0.035882219672203064,0.0390625
3.98,0.6129396557807922,0.1278897076845169,0.035176124423742294,0.0390625
4.0,0.6159230470657349,0.13365960121154785,0.03546709567308426,0.0390625
4.02,0.6192620396614075,0.13293781876564026,0.036222513765096664,0.0390625
4.04,0.6231660842895508,0.1928245723247528,0.037027183920145035,0.0390625
4.06,0.6273964643478394,0.2045496106147766,0.03732111304998398,0.0390625
4.08,0.6313141584396362,0.18086650967597961,0.03747440502047539,0.0390625
4.1,0.6345890164375305,0.15438975393772125,0.03765438124537468,0.0390625
4.12,0.6376927495002747,0.15456558763980865,0.037970129400491714,0.0390625
4.14,0.6409001350402832,0.16098831593990326,0.038164492696523666,0.0390625
4.16,0.644200325012207,0.16154125332832336,0.03821331635117531,0.0390625
4.18,0.6474700570106506,0.1643705815076828,0.03838134929537773,0.0390625
4.2,0.6508508324623108,0.17067936062812805,0.038678523153066635,0.0390625
4.22,0.6543317437171936,0.17252017557621002,0.039095133543014526,0.0390625
4.24,0.6577917337417603,0.17427828907966614,0.03978179767727852,0.0390625
4.26,0.6611282825469971,0.1653938591480255,0.040791694074869156,0.0390625
4.28,0.6642764806747437,0.16047857701778412,0.04206995666027069,0.0390625
4.3,0.6676214933395386,0.16197964549064636,0.0420079343020916,0.0390625
4.32,0.6713505387306213,0.18708105385303497,0.04230000823736191,0.0390625
4.34,0.6750443577766418,0.17369391024112701,0.04269037023186684,0.0390625
4.36,0.6782680749893188,0.1528652012348175,0.043037790805101395,0.0390625
4.38,0.6812660694122314,0.15173394978046417,0.04311065375804901,0.0390625
4.4,0.684578001499176,0.16608171164989471,0.04283487796783447,0.0390625
4.42,0.6880096197128296,0.16043594479560852,0.04241614788770676,0.0390625
4.44,0.69132399559021,0.15127554535865784,0.041831158101558685,0.0390625
4.46,0.6945032477378845,0.1443607360124588,0.04107658937573433,0.0390625
4.48,0.6976356506347656,0.14068281650543213,0.040170978754758835,0.0390625
4.5,0.7007137537002563,0.13550613820552826,0.0392293743789196,0.0390625
4.52,0.703677773475647,0.1281624436378479,0.03863690420985222,0.0390625
4.54,0.7066774368286133,0.13502813875675201,0.03877915441989899,0.0390625
4.56,0.7100238800048828,0.13123878836631775,0.03945988044142723,0.0390625
4.58,0.7139251232147217,0.19351105391979218,0.04020347446203232,0.0390625
4.6,0.718170166015625,0.20580610632896423,0.04060497134923935,0.0390625
4.62,0.7220958471298218,0.1814127266407013,0.0408206544816494,0.0390625
4.64,0.7253803610801697,0.15424588322639465,0.04104418307542801,0.0390625
