time_s,mean_alignment,mean_height_m,success_fraction,active_fraction
3.02,-0.9599570631980896,-0.1346760243177414,0.5546875,0.4453125
3.04,-0.9599559903144836,-0.1346765011548996,0.5546875,0.4453125
3.06,-0.9599590301513672,-0.1346757709980011,0.5546875,0.4453125
3.08,-0.9599606990814209,-0.13467524945735931,0.5546875,0.4453125
3.1,-0.9599614143371582,-0.13467498123645782,0.5546875,0.4453125
3.12,-0.9599635004997253,-0.1346745491027832,0.5546875,0.4453125
3.14,-0.9599653482437134,-0.1346741020679474,0.5546875,0.4453125
3.16,-0.9599667191505432,-0.13467365503311157,0.5546875,0.4453125
3.18,-0.959966778755188,-0.13467393815517426,0.5546875,0.4453125
3.2,-0.9599664211273193,-0.13467398285865784,0.5546875,0.4453125
3.22,-0.9599664211273193,-0.13467387855052948,0.5546875,0.4453125
3.24,-0.9599674344062805,-0.1346735656261444,0.5546875,0.4453125
3.26,-0.9599680304527283,-0.13467343151569366,0.5546875,0.4453125
3.28,-0.959969699382782,-0.1346728801727295,0.5546875,0.4453125
3.3,-0.959972083568573,-0.13467225432395935,0.5546875,0.4453125
3.32,-0.9599732756614685,-0.13467159867286682,0.5546875,0.4453125
3.34,-0.9599737524986267,-0.13467155396938324,0.5546875,0.4453125
3.36,-0.9599739909172058,-0.1346714347600937,0.5546875,0.4453125
3.38,-0.959973931312561,-0.1346713900566101,0.5546875,0.4453125
3.4,-0.95997154712677,-0.13467055559158325,0.5546875,0.4453125
3.42,-0.959970235824585,-0.13467086851596832,0.5546875,0.4453125
3.44,-0.9599719643592834,-0.1346704214811325,0.5546875,0.4453125
3.46,-0.9599714279174805,-0.13467049598693848,0.5546875,0.4453125
3.48,-0.9599719047546387,-0.13467049598693848,0.5546875,0.4453125
3.5,-0.9599724411964417,-0.13467039167881012,0.5546875,0.4453125
3.52,-0.9599719047546387,-0.1346704661846161,0.5546875,0.4453125
3.54,-0.9599726796150208,-0.13467034697532654,0.5546875,0.4453125
3.56,-0.9599712491035461,-0.134670689702034,0.5546875,0.4453125
3.58,-0.9599695205688477,-0.1346709281206131,0.5546875,0.4453125
3.6,-0.9599695205688477,-0.13467095792293549,0.5546875,0.4453125
3.62,-0.9599688649177551,-0.13467122614383698,0.5546875,0.4453125
3.64,-0.9599699378013611,-0.13467080891132355,0.5546875,0.4453125
3.66,-0.9599703550338745,-0.13467055559158325,0.5546875,0.4453125
3.68,-0.9599684476852417,-0.13467097282409668,0.5546875,0.4453125
3.7,-0.9599681496620178,-0.13467098772525787,0.5546875,0.4453125
3.72,-0.9599679112434387,-0.1346711814403534,0.5546875,0.4453125
3.74,-0.9599661827087402,-0.13467158377170563,0.5546875,0.4453125
3.76,-0.9599661231040955,-0.13467155396938324,0.5546875,0.4453125
3.78,-0.9599657654762268,-0.1346716433763504,0.5546875,0.4453125
3.8,-0.959965705871582,-0.13467173278331757,0.5546875,0.4453125
3.82,-0.9599660038948059,-0.13467185199260712,0.5546875,0.4453125
3.84,-0.959966242313385,-0.1346716284751892,0.5546875,0.4453125
3.86,-0.9599677920341492,-0.13467127084732056,0.5546875,0.4453125
3.88,-0.959969699382782,-0.13467080891132355,0.5546875,0.4453125
3.9,-0.9599696397781372,-0.13467106223106384,0.5546875,0.4453125
3.92,-0.9599683880805969,-0.13467104732990265,0.5546875,0.4453125
3.94,-0.9599697589874268,-0.13467073440551758,0.5546875,0.4453125
3.96,-0.9599705934524536,-0.1346706748008728,0.5546875,0.4453125
3.98,-0.9599686861038208,-0.13467122614383698,0.5546875,0.4453125
4.0,-0.9599679112434387,-0.13467136025428772,0.5546875,0.4453125
4.02,-0.9599677920341492,-0.13467146456241608,0.5546875,0.4453125
4.04,-0.9599672555923462,-0.13467155396938324,0.5546875,0.4453125
4.06,-0.9599666595458984,-0.13467150926589966,0.5546875,0.4453125
