trial,initial_ball_x_m,max_ball_progress_m,max_ball_speed_mps,closest_robot_ball_distance_m,closest_foot_ball_distance_m,success,fell
22,6.03000020980835,0.22059869766235352,0.21344397962093353,0.059470076113939285,0.06447024643421173,True,False
23,6.03000020980835,0.22316932678222656,0.228654146194458,0.09046115726232529,0.07629911601543427,True,False
24,9.029999732971191,0.22243499755859375,0.23093895614147186,0.06131063401699066,0.06654494255781174,True,False
25,9.029999732971191,0.221832275390625,0.12471207976341248,0.06902118772268295,0.07403802871704102,True,False
26,9.029999732971191,0.22010421752929688,0.1266905516386032,0.06978431344032288,0.07995762676000595,True,False
27,9.029999732971191,0.22181987762451172,0.2067028135061264,0.05958282947540283,0.07006385922431946,True,False
28,9.029999732971191,0.22115802764892578,0.12181255221366882,0.06715035438537598,0.07458056509494781,True,False
29,9.029999732971191,0.22102069854736328,0.1292257308959961,0.05835723504424095,0.08136631548404694,True,False
30,9.029999732971191,0.2614450454711914,0.08803610503673553,0.01208356861025095,0.032061852514743805,False,False
31,9.029999732971191,0.22139835357666016,0.2685101330280304,0.08006735146045685,0.07596410065889359,True,False
32,12.029999732971191,0.14760971069335938,0.03756757453083992,0.012888932600617409,0.07403015345335007,False,False
33,12.029999732971191,0.14452075958251953,0.04065645486116409,0.026627445593476295,0.023789266124367714,False,False
34,12.029999732971191,0.22060871124267578,0.1688690483570099,0.04587496072053909,0.04178314656019211,True,False
35,12.029999732971191,0.34998130798339844,0.08784966915845871,0.03511648625135422,0.07704152166843414,False,False
36,12.029999732971191,1.1228456497192383,0.288900226354599,0.05691996589303017,0.06720210611820221,False,False
37,12.029999732971191,0.4419851303100586,0.11146784573793411,0.044792674481868744,0.0783415362238884,False,False
38,12.029999732971191,0.2204751968383789,0.22645485401153564,0.07623647898435593,0.07277532666921616,True,False
39,12.029999732971191,0.22084331512451172,0.11874315142631531,0.06668694317340851,0.06775075942277908,True,False
40,15.029999732971191,0.22011470794677734,0.26263007521629333,0.06541988253593445,0.07646870613098145,True,False
